tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
8.25E+17,"Trump is America's problem. While other outlets fact-check Trump, Infowars provides alternative facts https://t.co/JMh7ZnApQ6 via @CNNMoney",0,0,Twitter Web Client,1/27/2017 1:05,8.08E+17,jackgrieshaber,Jack Grieshaber,12/12/2016 23:44,"Software developer, explorer of consciousness, paragliding pilot, hiking, biking",2,14,"Carlsbad, CA",Pacific Time (US & Canada)
8.25E+17,Donald Trump begins his term with a 36% approval rating. And yet 53% are optimistic about the next 4 years. https://t.co/N68ViAgDrT,0,0,Put your button on any page! ,1/27/2017 1:05,16297096,wodekszemberg,Wodek Szemberg,9/15/2008 15:42,Television producer at TVO in Toronto.    I was born in Poland. Have lived in    East Germany in the mid-60's and in Sweden in the early 70's.,2190,1600,Toronto,Eastern Time (US & Canada)
8.25E+17,RT @BuzzFeed: 5 people in Trump’s circle have committed his definition of voter fraud https://t.co/pDUCNB0ITk https://t.co/os26nKQneV,443,0,Twitter for iPhone,1/27/2017 1:05,22856911,nikkatene,Nikki,3/5/2009 1:00,"Develop a backbone not a wishbone. Psychology Major, CSU Fresno",307,295,,Pacific Time (US & Canada)
8.25E+17,"After White House's phone line is shut down, Bernie Sanders team is helping people complain to Trump https://t.co/QgPBvA6tsd Tks #Bernie",0,0,Twitter Web Client,1/27/2017 1:05,859116272,vgliatti,Veronica Gliatti,10/3/2012 3:24,"Faith, love & laughter make life richer Cancer survivor #Blogger Wrkd in Communications, Mrktg, Mgmt & Sales
https://t.co/q9SP738hWu",4836,1142,"Zephyrhills, FL",America/Chicago
8.25E+17,"RT @FoxNews: .@JudgeJeanine: ""@realDonaldTrump will be the biggest change agent in the history of the United States."" https://t.co/G4YwrO1C…",1083,0,Twitter for iPhone,1/27/2017 1:05,1345044672,seedootheunique,صديق الانصاري,4/11/2013 19:00,Politics sports movies songs books media social life just ask i will answer,473,1287,,
8.25E+17,RT @MacleansMag: A reading list for these Trumpian times: https://t.co/KV9rDStZe5,6,0,Twitter for iPad,1/27/2017 1:05,404561506,mrichardson8,Mary Richardson,11/4/2011 2:59,,32,34,"Ottawa, Canada",
8.25E+17,"RT @YoRoyRobin: Donald Trump is NOT My President. 
Donald Trump is NOT My President. 
Donald Trump is NOT My President. 
Donald Trump is NO…",1236,0,Twitter for iPhone,1/27/2017 1:05,250935170,_April20th_,APRIL 20TH,2/12/2011 3:15,Elhs|MustangPride| learned to trust few as i got older|. R.I.P grandma **2•6•13**|. 704✈️813. #employed〽️,1246,1289,north carolina,
8.25E+17,RT @samkalidi: Sean Hannity interviews Donald Trump. https://t.co/JUuqV8LMdW,129,0,Twitter for iPhone,1/27/2017 1:05,87262922,samo_rocky,Westside Rocky,11/3/2009 19:28,soccer-mom. lawyer. pta volunteer. anti-gun activist. progressive. UCLA fan. sports-lover.  American. citizen of the Earth.,255,747,"Los Angeles, CA",Alaska
8.25E+17,"RT @YoRoyRobin: Donald Trump is NOT My President. 
Donald Trump is NOT My President. 
Donald Trump is NOT My President. 
Donald Trump is NO…",1236,0,Twitter for Android,1/27/2017 1:05,290302591,Bahddesst_Barbi,babygirl,4/30/2011 2:17,life's a joke lol,657,918,dreamville✨,Central Time (US & Canada)
8.25E+17,RT @HuffPostPol: Petition demanding Donald Trump release his tax returns breaks White House record https://t.co/LaJ8RlZjNu https://t.co/75O…,106,0,Twitter for iPhone,1/27/2017 1:05,1220394714,dskermetta,Diane Skermetta,2/26/2013 3:53,,9,187,,
8.25E+17,RT @_jonathan_nunez: Donald trump is an ignorant mother fucker can't believe us as a nation let that nigga win y'all racist mother fuckers…,9,0,Twitter for iPhone,1/27/2017 1:05,485375688,yoMarvss,Lord Flacko 〽️,2/7/2012 4:11,I'm that nigga 🔨,4677,480,"Sanger, CA",Eastern Time (US & Canada)
