2016-10-06 08:05:12,423 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Assignment3:Assignment3:0.0.1-SNAPSHOT @ D:\workspace\USU Assignment\USU-Assignment\CS6600 - Intelligent Systems\Assignment 3\Assignment 3\pom.xml.
2016-10-06 08:05:15,004 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-06 08:05:15,013 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS6600 - Intelligent Systems\Assignment 3\Assignment 3\src\main\resources
2016-10-06 08:05:15,017 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-06 08:05:15,023 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS6600 - Intelligent Systems\Assignment 3\Assignment 3\src\test\resources
2016-10-06 08:05:15,064 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Assignment 3/src
2016-10-06 08:05:15,065 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Assignment 3/src/test/java because it overlaps with /Assignment 3/src
2016-10-06 08:05:15,215 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-10-06 08:05:15,771 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Assignment3:Assignment3:0.0.1-SNAPSHOT @ D:\workspace\USU Assignment\USU-Assignment\CS6600 - Intelligent Systems\Assignment 3\Assignment 3\pom.xml.
2016-10-06 08:05:16,062 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Assignment 3/src
2016-10-06 08:05:16,063 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Assignment 3/src/test/java because it overlaps with /Assignment 3/src
2016-10-06 08:05:16,135 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-10-06 08:05:16,424 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-06 08:05:16,431 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\USU Assignment\USU-Assignment\CS6600 - Intelligent Systems\Assignment 3\Assignment 3\src\main\resources
